commits_count,commits_f_1w,commits_f_1m,commits_f_6m,commits_f_1y,commits_f_all,issues_count,issues_f_1w,issues_f_1m,issues_f_6m,issues_f_1y,issues_f_all,closed_issues_count,closed_issues_f_1w,closed_issues_f_1m,closed_issues_f_6m,closed_issues_f_1y,closed_issues_f_all,closed_issues_time_1w,closed_issues_time_1m,closed_issues_time_6m,closed_issues_time_1y,closed_issues_time_all,comments_count,comments_f_1w,comments_f_1m,comments_f_6m,comments_f_1y,comments_f_all,pulls_count,pulls_f_1w,pulls_f_1m,pulls_f_6m,pulls_f_1y,pulls_f_all,closed_pulls_count,closed_pulls_f_1w,closed_pulls_f_1m,closed_pulls_f_6m,closed_pulls_f_1y,closed_pulls_f_all,closed_pulls_time_1w,closed_pulls_time_1m,closed_pulls_time_6m,closed_pulls_time_1y,closed_pulls_time_all,pulls_comments_count,pulls_comments_f_1w,pulls_comments_f_1m,pulls_comments_f_6m,pulls_comments_f_1y,pulls_comments_f_all,events_count,events_f_1w,events_f_1m,events_f_6m,events_f_1y,events_f_all,contrib_count,contrib_others,contrib_p25_1w,contrib_p50_1w,contrib_p75_1w,contrib_p25_1m,contrib_p50_1m,contrib_p75_1m,contrib_p25_6m,contrib_p50_6m,contrib_p75_6m,contrib_p25_1y,contrib_p50_1y,contrib_p75_1y,contrib_p25_all,contrib_p50_all,contrib_p75_all,ccomments_count,ccomments_f_1w,ccomments_f_1m,ccomments_f_6m,ccomments_f_1y,ccomments_f_all,forks_count,forks_f_1w,forks_f_1m,forks_f_6m,forks_f_1y,forks_f_all,days_active,fork,result
156,0.0,0.0,0.0486486486486,0.131147540984,0.251207729469,9,0.0,0.0,0.0,0.0136612021858,0.0144927536232,4,0.0,0.0,0.0,0.00273224043716,0.00644122383253,?,?,?,0.0,2.5,9,0.0,0.0,0.0,0.00546448087432,0.0144927536232,1,0.0,0.0,0.0,0.00273224043716,0.0016103059581300005,1,0.0,0.0,0.0,0.00273224043716,0.0016103059581300005,?,?,?,58.0,58.0,1,0.0,0.0,0.0,0.00273224043716,0.0016103059581300005,0,0.0,0.0,0.0,0.0,0.0,2,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0162162162162,0.0273224043716,0.027375201288200004,621,False,0.0989010989011
37,0.0,0.0,0.0108695652174,0.0272479564033,0.0540935672515,1,0.0,0.0,0.0054347826087,0.00272479564033,0.00146198830409,1,0.0,0.0,0.0054347826087,0.00272479564033,0.00146198830409,?,?,7.0,7.0,7.0,5,0.0,0.0,0.0271739130435,0.0136239782016,0.00730994152047,1,0.0,0.0,0.0054347826087,0.00272479564033,0.00146198830409,1,0.0,0.0,0.0054347826087,0.00272479564033,0.00146198830409,?,?,0.0,0.0,0.0,1,0.0,0.0,0.0054347826087,0.00272479564033,0.00146198830409,0,0.0,0.0,0.0,0.0,0.0,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1,2,0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0326086956522,0.016348773842,0.00877192982456,684,False,0.0
245,0.0,0.0,0.153846153846,0.0901639344262,0.29376498801,21,0.0,0.0,0.043956043956,0.0355191256831,0.0251798561151,12,0.0,0.0,0.032967032967,0.0191256830601,0.0143884892086,?,?,283.0,255.28571428599997,211.16666666700002,17,0.0,0.0,0.0494505494505,0.0273224043716,0.0203836930456,6,0.0,0.0,0.0274725274725,0.016393442623,0.00719424460432,6,0.0,0.0,0.0274725274725,0.016393442623,0.00719424460432,?,?,0.2,23.3333333333,23.3333333333,12,0.0,0.0,0.0659340659341,0.032786885245900003,0.0143884892086,0,0.0,0.0,0.0,0.0,0.0,3,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.021978021978,0.0191256830601,0.017985611510799998,834,False,0.0540540540541
22,0.0,0.0,0.0,0.024590163934400004,0.0322108345534,1,0.0,0.0,0.0,0.0,0.00146412884334,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,2,0.0,0.0,0.0,0.0,0.00292825768668,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,683,False,0.06486486486490001
1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,False,?
82,0.75,0.1875,0.145945945946,0.414141414141,0.414141414141,26,0.0,0.0,0.0108108108108,0.020202020202,0.020202020202,23,0.0,0.0,0.0,0.00505050505051,0.00505050505051,?,?,?,0.0,0.0,3,0.0,0.0,0.0,0.010101010101,0.010101010101,1,0.0,0.0,0.005405405405409999,0.00505050505051,0.00505050505051,1,0.0,0.0,0.005405405405409999,0.00505050505051,0.00505050505051,?,?,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2,0.0,0.0,0.0,0.00505050505051,0.00505050505051,1,0.0,0.0,0.0,0.0,0.0,198,False,?
56,0.0,0.03125,0.005405405405409999,0.008196721311479999,0.060021436227199985,2,0.0,0.0,0.0,0.00273224043716,0.0021436227224,2,0.0,0.0,0.0,0.00273224043716,0.0021436227224,?,?,?,273.0,156.5,2,0.0,0.0,0.005405405405409999,0.00273224043716,0.0021436227224,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0021436227224,933,False,0.010989010989
29,0.0,0.0,0.207142857143,0.207142857143,0.207142857143,4,0.0,0.0,0.0285714285714,0.0285714285714,0.0285714285714,4,0.0,0.0,0.0285714285714,0.0285714285714,0.0285714285714,?,?,0.5,0.5,0.5,8,0.0,0.0,0.0571428571429,0.0571428571429,0.0571428571429,3,0.0,0.0,0.0214285714286,0.0214285714286,0.0214285714286,3,0.0,0.0,0.0214285714286,0.0214285714286,0.0214285714286,?,?,0.0,0.0,0.0,4,0.0,0.0,0.0285714285714,0.0285714285714,0.0285714285714,4,0.125,0.125,0.0285714285714,0.0285714285714,0.0285714285714,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,3,0.0,0.0,0.0214285714286,0.0214285714286,0.0214285714286,5,0.0,0.0,0.035714285714300006,0.035714285714300006,0.035714285714300006,140,False,?
1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,False,0.0
10,0.125,0.290322580645,0.30303030303,0.30303030303,0.30303030303,1,0.125,0.0322580645161,0.030303030303,0.030303030303,0.030303030303,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,2,0.25,0.0645161290323,0.0606060606061,0.0606060606061,0.0606060606061,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,33,False,?
172,0.0,0.0,2.6461538461500003,2.6461538461500003,2.6461538461500003,1,0.0,0.0,0.0153846153846,0.0153846153846,0.0153846153846,1,0.0,0.0,0.0153846153846,0.0153846153846,0.0153846153846,?,?,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,55,0.0,0.0,0.846153846154,0.846153846154,0.846153846154,55,0.0,0.0,0.846153846154,0.846153846154,0.846153846154,?,?,2.98181818182,2.98181818182,2.98181818182,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1,1,2,0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0307692307692,0.0307692307692,0.0307692307692,65,False,0.0769230769231
15,15.0,15.0,15.0,15.0,15.0,4,4.0,4.0,4.0,4.0,4.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,2,2.0,2.0,2.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,1,False,0.0
184,0.0,0.0,0.135869565217,0.229508196721,0.32,20,0.0,0.0,0.0217391304348,0.016393442623,0.0347826086957,18,0.0,0.0,0.0163043478261,0.0136612021858,0.0313043478261,?,?,3.66666666667,2.6,19.388888888900002,40,0.0,0.0,0.119565217391,0.0928961748634,0.0695652173913,3,0.0,0.0,0.0163043478261,0.008196721311479999,0.005217391304350001,3,0.0,0.0,0.0163043478261,0.008196721311479999,0.005217391304350001,?,?,0.333333333333,0.333333333333,0.333333333333,2,0.0,0.0,0.0108695652174,0.00546448087432,0.00347826086957,9,0.375,0.290322580645,0.0489130434783,0.024590163934400004,0.015652173913,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,0.0017391304347800002,17,0.0,0.0322580645161,0.08695652173910001,0.0464480874317,0.0295652173913,575,False,?
199,0.0,0.0,0.156756756757,0.16393442623,0.140735502122,1,0.0,0.0,0.005405405405409999,0.00273224043716,0.000707213578501,1,0.0,0.0,0.005405405405409999,0.00273224043716,0.000707213578501,?,?,89.0,89.0,89.0,0,0.0,0.0,0.0,0.0,0.0,1,0.125,0.03125,0.005405405405409999,0.00273224043716,0.000707213578501,1,0.125,0.03125,0.005405405405409999,0.00273224043716,0.000707213578501,6.0,6.0,6.0,6.0,6.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,2,3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1414,False,?
91,0.0,0.0,0.032967032967,0.0573770491803,0.163375224417,9,0.0,0.0322580645161,0.0164835164835,0.0109289617486,0.016157989228000002,8,0.0,0.0,0.010989010989,0.008196721311479999,0.0143626570916,?,?,26.5,18.0,26.0,53,0.0,0.0322580645161,0.0384615384615,0.08469945355189999,0.0951526032316,2,0.0,0.0,0.005494505494510001,0.00273224043716,0.00359066427289,2,0.0,0.0,0.005494505494510001,0.00273224043716,0.00359066427289,?,?,0.0,0.0,0.0,3,0.0,0.0,0.010989010989,0.00546448087432,0.00538599640934,0,0.0,0.0,0.0,0.0,0.0,3,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.005494505494510001,0.00273224043716,0.00538599640934,557,False,0.0216216216216
77,0.5,5.5,5.5,5.5,5.5,2,0.125,0.14285714285700002,0.14285714285700002,0.14285714285700002,0.14285714285700002,1,0.0,0.07142857142860001,0.07142857142860001,0.07142857142860001,0.07142857142860001,?,5.0,5.0,5.0,5.0,2,0.125,0.14285714285700002,0.14285714285700002,0.14285714285700002,0.14285714285700002,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5,7,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1,2,3,0,0.0,0.0,0.0,0.0,0.0,1,0.125,0.07142857142860001,0.07142857142860001,0.07142857142860001,0.07142857142860001,14,False,0.005494505494510001
10,0.625,1.11111111111,1.11111111111,1.11111111111,1.11111111111,1,0.125,0.111111111111,0.111111111111,0.111111111111,0.111111111111,1,0.125,0.111111111111,0.111111111111,0.111111111111,0.111111111111,0.0,0.0,0.0,0.0,0.0,1,0.125,0.111111111111,0.111111111111,0.111111111111,0.111111111111,2,0.25,0.222222222222,0.222222222222,0.222222222222,0.222222222222,2,0.25,0.222222222222,0.222222222222,0.222222222222,0.222222222222,3.0,3.0,3.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,5,0.625,0.555555555556,0.555555555556,0.555555555556,0.555555555556,9,False,0.0217391304348
61,1.0,0.25,0.462121212121,0.462121212121,0.462121212121,19,0.0,0.0,0.143939393939,0.143939393939,0.143939393939,19,0.0,0.0,0.143939393939,0.143939393939,0.143939393939,?,?,34.157894736799996,34.157894736799996,34.157894736799996,5,0.0,0.0,0.0378787878788,0.0378787878788,0.0378787878788,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.03125,0.00757575757576,0.00757575757576,0.00757575757576,132,False,0.0054347826087
185,0.875,2.28125,2.07865168539,2.07865168539,2.07865168539,74,0.0,0.0,0.8314606741570001,0.8314606741570001,0.8314606741570001,26,0.0,0.0,0.292134831461,0.292134831461,0.292134831461,?,?,3.23076923077,3.23076923077,3.23076923077,97,0.0,0.0,1.08988764045,1.08988764045,1.08988764045,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,2,0.125,0.03125,0.022471910112400004,0.022471910112400004,0.022471910112400004,89,False,0.0274725274725
6,0.0,0.0645161290323,0.166666666667,0.166666666667,0.166666666667,1,0.0,0.0322580645161,0.0277777777778,0.0277777777778,0.0277777777778,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36,False,0.00546448087432
15,0.0,0.09375,0.294117647059,0.294117647059,0.294117647059,5,0.0,0.03125,0.0980392156863,0.0980392156863,0.0980392156863,1,0.0,0.0,0.0196078431373,0.0196078431373,0.0196078431373,?,?,10.0,10.0,10.0,1,0.0,0.0,0.0196078431373,0.0196078431373,0.0196078431373,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,51,False,0.032967032967
5,0.0,0.0,0.05,0.05,0.05,1,0.0,0.0,0.01,0.01,0.01,1,0.0,0.0,0.01,0.01,0.01,?,?,0.0,0.0,0.0,2,0.0,0.0,0.02,0.02,0.02,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.01,0.01,0.01,100,False,0.032786885245900003
22,0.75,0.548387096774,0.55,0.55,0.55,1,0.0,0.0,0.025,0.025,0.025,1,0.0,0.0,0.025,0.025,0.025,?,?,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,40,False,?
4,2.0,2.0,2.0,2.0,2.0,1,0.5,0.5,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,?,?,?,?,?,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,False,?
